,Fitness,Iteration,Mutation Rate,Population Size,Time,max_iters
0,17.0,0,0.2,50,0.00019670199981192127,2048
1,18.0,1,0.2,50,0.0027733489987440407,2048
2,18.0,2,0.2,50,0.0050299930007895455,2048
3,18.0,3,0.2,50,0.010289697998814518,2048
4,19.0,4,0.2,50,0.012385329999233363,2048
5,16.0,5,0.3,50,0.017503213999589207,2048
6,16.0,6,0.3,50,0.00014690100215375423,2048
7,16.0,7,0.3,50,0.002663358001882443,2048
8,17.0,8,0.3,50,0.004859001001022989,2048
9,18.0,9,0.3,50,0.010072345001390204,2048
10,18.0,10,0.3,50,0.012298269000893924,2048
11,18.0,11,0.3,50,0.017604584001674084,2048
12,18.0,12,0.3,50,0.019832247999147512,2048
13,18.0,13,0.3,50,0.021864418999030022,2048
14,18.0,14,0.3,50,0.024062931999651482,2048
15,18.0,15,0.3,50,0.029349856999033364,2048
16,18.0,16,0.3,50,0.031604911000613356,2048
17,18.0,17,0.3,50,0.033634571998845786,2048
18,18.0,18,0.3,50,0.03587116600101581,2048
19,18.0,19,0.3,50,0.03796046800198383,2048
20,18.0,20,0.3,50,0.04015577099926304,2048
21,18.0,21,0.3,50,0.042312002999096876,2048
22,18.0,22,0.3,50,0.04456682700038073,2048
23,18.0,23,0.3,50,0.05021054600001662,2048
24,18.0,24,0.3,50,0.05225656699985848,2048
25,18.0,25,0.3,50,0.0543062690012448,2048
26,18.0,26,0.3,50,0.056459881001501344,2048
27,18.0,27,0.3,50,0.058553572998789605,2048
28,18.0,28,0.3,50,0.06074496600194834,2048
29,18.0,29,0.3,50,0.0629931299990858,2048
30,18.0,30,0.3,50,0.06494070999906398,2048
31,18.0,31,0.3,50,0.06706635299997288,2048
32,18.0,32,0.3,50,0.06929169599970919,2048
33,18.0,33,0.3,50,0.07155457000044407,2048
34,18.0,34,0.3,50,0.07376785300220945,2048
35,18.0,35,0.3,50,0.07597658600207069,2048
36,18.0,36,0.3,50,0.07807484799923259,2048
37,18.0,37,0.3,50,0.08003382899914868,2048
38,18.0,38,0.3,50,0.08225427200159174,2048
39,18.0,39,0.3,50,0.08809439299875521,2048
40,18.0,40,0.3,50,0.09016471500217449,2048
41,18.0,41,0.3,50,0.09237847799886367,2048
