,Fitness,Iteration,State,Temperature,Time,max_iters,schedule_current_value,schedule_decay,schedule_init_temp,schedule_min_temp,schedule_type
0,9.0,0,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",2,0.00010250099876429886,2048,1.9999979396621355,0.99,2,0.001,geometric
1,11.0,2,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0]",2,0.0006504970006062649,2048,1.999986924616086,0.99,2,0.001,geometric
2,11.0,4,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0]",2,0.004802229999768315,2048,1.9999034742806918,0.99,2,0.001,geometric
3,14.0,8,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0]",2,0.008233336000557756,2048,1.9998345112630076,0.99,2,0.001,geometric
4,10.0,16,"[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]",2,0.01222418800170999,2048,1.9997543007033651,0.99,2,0.001,geometric
5,9.0,32,"[1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0]",2,0.017679994998616166,2048,1.9996446517965776,0.99,2,0.001,geometric
6,12.0,64,"[0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",2,0.02547538699946017,2048,1.9994879931582539,0.99,2,0.001,geometric
7,17.0,128,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",2,0.036872715998470085,2048,1.9992589709556994,0.99,2,0.001,geometric
8,18.0,256,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",2,0.05481073400005698,2048,1.998898570827796,0.99,2,0.001,geometric
9,18.0,512,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1]",2,0.09023538499968708,2048,1.998187030361413,0.99,2,0.001,geometric
10,18.0,1024,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1]",2,0.1660649299992656,2048,1.9966647673997333,0.99,2,0.001,geometric
11,19.0,2048,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",2,0.19333342599929892,2048,1.9961176413347816,0.99,2,0.001,geometric
12,9.0,0,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",4,8.70910007506609e-05,2048,3.999996498826303,0.99,4,0.001,geometric
13,11.0,2,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0]",4,0.0006015559993102215,2048,3.999975816713793,0.99,4,0.001,geometric
14,11.0,4,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0]",4,0.012317949000134831,2048,3.9995048325534692,0.99,4,0.001,geometric
15,12.0,8,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0]",4,0.02458842800115235,2048,3.9990116342903805,0.99,4,0.001,geometric
16,12.0,16,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]",4,0.0376408439988154,2048,3.998487073694428,0.99,4,0.001,geometric
17,7.0,32,"[1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0]",4,0.051492418999259826,2048,3.9979304711340404,0.99,4,0.001,geometric
18,11.0,64,"[0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",4,0.06781743100145832,2048,3.9972745770800873,0.99,4,0.001,geometric
