,Fitness,Iteration,Mutation Rate,Population Size,State,Time,max_iters
0,92.0,0,0.2,50,"[3, 4, 0, 1, 3, 0, 0, 1, 4, 4]",0.0011439890004112385,2048
1,166.0,2,0.2,50,"[4, 2, 4, 4, 3, 4, 4, 0, 3, 2]",0.007660144998226315,2048
2,176.0,4,0.2,50,"[3, 3, 3, 4, 4, 4, 4, 1, 4, 2]",0.01717361400005757,2048
3,184.0,8,0.2,50,"[1, 4, 4, 4, 2, 4, 4, 2, 4, 2]",0.0327350560000923,2048
4,187.0,16,0.2,50,"[4, 4, 4, 4, 3, 4, 4, 0, 4, 2]",0.060645255998679204,2048
5,187.0,32,0.2,50,"[4, 4, 4, 4, 3, 4, 4, 0, 4, 2]",0.11254141399695072,2048
6,187.0,64,0.2,50,"[4, 4, 4, 4, 3, 4, 4, 0, 4, 2]",0.21288938499856158,2048
7,187.0,128,0.2,50,"[4, 4, 4, 4, 3, 4, 4, 0, 4, 2]",0.4057360989972949,2048
8,187.0,256,0.2,50,"[4, 4, 4, 4, 3, 4, 4, 0, 4, 2]",0.7842397139975219,2048
9,187.0,512,0.2,50,"[4, 4, 4, 4, 3, 4, 4, 0, 4, 2]",1.5413553260004846,2048
10,187.0,1024,0.2,50,"[4, 4, 4, 4, 3, 4, 4, 0, 4, 2]",1.5520730209973408,2048
11,187.0,2048,0.2,50,"[4, 4, 4, 4, 3, 4, 4, 0, 4, 2]",1.5520730209973408,2048
12,92.0,0,0.3,50,"[3, 4, 0, 1, 3, 0, 0, 1, 4, 4]",0.0011087700004281942,2048
13,168.0,2,0.3,50,"[0, 4, 4, 4, 3, 3, 3, 0, 4, 2]",0.007697794000705471,2048
14,184.0,4,0.3,50,"[2, 4, 4, 4, 4, 3, 4, 0, 4, 3]",0.021043284999905154,2048
15,184.0,8,0.3,50,"[2, 4, 4, 4, 4, 3, 4, 0, 4, 3]",0.04077043700090144,2048
16,187.0,16,0.3,50,"[4, 4, 4, 4, 3, 4, 4, 2, 4, 0]",0.07328643000073498,2048
17,187.0,32,0.3,50,"[4, 4, 4, 4, 3, 4, 4, 2, 4, 0]",0.1300604240022949,2048
18,187.0,64,0.3,50,"[4, 4, 4, 4, 3, 4, 4, 2, 4, 0]",0.2339758560010523,2048
19,187.0,128,0.3,50,"[4, 4, 4, 4, 3, 4, 4, 2, 4, 0]",0.4344871620014601,2048
20,188.0,256,0.3,50,"[3, 4, 4, 4, 4, 4, 4, 2, 4, 0]",0.8217231859998719,2048
21,188.0,512,0.3,50,"[3, 4, 4, 4, 4, 4, 4, 2, 4, 0]",1.5914890010026284,2048
22,188.0,1024,0.3,50,"[3, 4, 4, 4, 4, 4, 4, 2, 4, 0]",1.9547266810004658,2048
23,188.0,2048,0.3,50,"[3, 4, 4, 4, 4, 4, 4, 2, 4, 0]",1.9547266810004658,2048
24,92.0,0,0.4,50,"[3, 4, 0, 1, 3, 0, 0, 1, 4, 4]",0.001089941000827821,2048
25,172.0,2,0.4,50,"[1, 4, 4, 4, 2, 4, 3, 0, 4, 2]",0.007840458001737716,2048
26,172.0,4,0.4,50,"[1, 4, 4, 4, 2, 4, 3, 0, 4, 2]",0.026994121002644533,2048
27,177.0,8,0.4,50,"[0, 4, 4, 4, 3, 3, 4, 0, 4, 3]",0.051914846000727266,2048
28,185.0,16,0.4,50,"[4, 4, 4, 4, 4, 3, 4, 0, 4, 2]",0.08972858900233405,2048
29,187.0,32,0.4,50,"[4, 4, 4, 4, 3, 4, 4, 0, 4, 2]",0.15206980100265355,2048
30,187.0,64,0.4,50,"[4, 4, 4, 4, 3, 4, 4, 0, 4, 2]",0.2628357249996043,2048
31,187.0,128,0.4,50,"[4, 4, 4, 4, 3, 4, 4, 0, 4, 2]",0.46879495100074564,2048
32,188.0,256,0.4,50,"[3, 4, 4, 4, 4, 4, 4, 0, 4, 2]",0.8633708430024853,2048
33,188.0,512,0.4,50,"[3, 4, 4, 4, 4, 4, 4, 0, 4, 2]",1.6404169689994887,2048
34,188.0,1024,0.4,50,"[3, 4, 4, 4, 4, 4, 4, 0, 4, 2]",2.0197123649995774,2048
35,188.0,2048,0.4,50,"[3, 4, 4, 4, 4, 4, 4, 0, 4, 2]",2.0197123649995774,2048
36,92.0,0,0.5,50,"[3, 4, 0, 1, 3, 0, 0, 1, 4, 4]",0.0011058499985665549,2048
37,159.0,2,0.5,50,"[0, 4, 3, 4, 3, 3, 4, 0, 3, 1]",0.007781870997860096,2048
38,171.0,4,0.5,50,"[0, 3, 3, 4, 3, 3, 4, 3, 4, 3]",0.0318467260003672,2048
39,179.0,8,0.5,50,"[3, 4, 3, 4, 3, 3, 4, 1, 4, 3]",0.06234611099716858,2048
40,183.0,16,0.5,50,"[3, 4, 4, 4, 3, 3, 4, 1, 4, 2]",0.10511108499849797,2048
41,187.0,32,0.5,50,"[4, 4, 4, 4, 3, 4, 4, 0, 4, 2]",0.17385924499831162,2048
42,187.0,64,0.5,50,"[4, 4, 4, 4, 3, 4, 4, 0, 4, 2]",0.2887302799972531,2048
43,187.0,128,0.5,50,"[4, 4, 4, 4, 3, 4, 4, 0, 4, 2]",0.49832806999984314,2048
44,188.0,256,0.5,50,"[3, 4, 4, 4, 4, 4, 4, 0, 4, 2]",0.9026988410005288,2048
45,188.0,512,0.5,50,"[3, 4, 4, 4, 4, 4, 4, 0, 4, 2]",1.686305822997383,2048
46,188.0,1024,0.5,50,"[3, 4, 4, 4, 4, 4, 4, 0, 4, 2]",2.0946996649981884,2048
47,188.0,2048,0.5,50,"[3, 4, 4, 4, 4, 4, 4, 0, 4, 2]",2.0946996649981884,2048
48,92.0,0,0.2,100,"[3, 4, 0, 1, 3, 0, 0, 1, 4, 4]",0.0020896040005027317,2048
49,168.0,2,0.2,100,"[4, 3, 4, 4, 2, 0, 4, 3, 4, 3]",0.015052159000333631,2048
50,173.0,4,0.2,100,"[3, 4, 4, 3, 1, 3, 4, 4, 4, 1]",0.050795293998817215,2048
51,182.0,8,0.2,100,"[4, 4, 4, 4, 2, 4, 4, 3, 3, 0]",0.09903806999864173,2048
52,185.0,16,0.2,100,"[4, 4, 4, 4, 4, 3, 4, 2, 4, 0]",0.17114788799881353,2048
53,187.0,32,0.2,100,"[4, 4, 4, 4, 2, 4, 4, 3, 4, 0]",0.29041886100094416,2048
54,187.0,64,0.2,100,"[4, 4, 4, 4, 2, 4, 4, 3, 4, 0]",0.5032755290012574,2048
55,187.0,128,0.2,100,"[4, 4, 4, 4, 2, 4, 4, 3, 4, 0]",0.9092088249999506,2048
56,187.0,256,0.2,100,"[4, 4, 4, 4, 2, 4, 4, 3, 4, 0]",1.6904936630016891,2048
57,187.0,512,0.2,100,"[4, 4, 4, 4, 2, 4, 4, 3, 4, 0]",3.2287422139997943,2048
58,187.0,1024,0.2,100,"[4, 4, 4, 4, 2, 4, 4, 3, 4, 0]",3.2873953550006263,2048
59,187.0,2048,0.2,100,"[4, 4, 4, 4, 2, 4, 4, 3, 4, 0]",3.2873953550006263,2048
60,92.0,0,0.3,100,"[3, 4, 0, 1, 3, 0, 0, 1, 4, 4]",0.0021354029995563906,2048
61,168.0,2,0.3,100,"[2, 4, 4, 3, 3, 3, 3, 2, 4, 2]",0.015090626999153756,2048
62,170.0,4,0.3,100,"[2, 4, 4, 4, 3, 2, 3, 1, 4, 2]",0.05491234399960376,2048
63,186.0,8,0.3,100,"[2, 4, 4, 4, 4, 4, 4, 2, 4, 0]",0.107757532998221,2048
64,188.0,16,0.3,100,"[3, 4, 4, 4, 4, 4, 4, 2, 4, 0]",0.18492091599910054,2048
65,188.0,32,0.3,100,"[3, 4, 4, 4, 4, 4, 4, 2, 4, 0]",0.3095652410011098,2048
66,188.0,64,0.3,100,"[3, 4, 4, 4, 4, 4, 4, 2, 4, 0]",0.5288694289993146,2048
67,188.0,128,0.3,100,"[3, 4, 4, 4, 4, 4, 4, 2, 4, 0]",0.9348719789995812,2048
68,188.0,256,0.3,100,"[3, 4, 4, 4, 4, 4, 4, 2, 4, 0]",1.7254229649988702,2048
69,188.0,512,0.3,100,"[3, 4, 4, 4, 4, 4, 4, 2, 4, 0]",3.270687617998192,2048
70,188.0,1024,0.3,100,"[3, 4, 4, 4, 4, 4, 4, 2, 4, 0]",3.270687617998192,2048
71,188.0,2048,0.3,100,"[3, 4, 4, 4, 4, 4, 4, 2, 4, 0]",3.270687617998192,2048
72,92.0,0,0.4,100,"[3, 4, 0, 1, 3, 0, 0, 1, 4, 4]",0.002101444999425439,2048
73,172.0,2,0.4,100,"[4, 3, 4, 4, 2, 2, 4, 2, 4, 2]",0.015137984999455512,2048
74,175.0,4,0.4,100,"[3, 3, 4, 4, 2, 3, 4, 3, 4, 1]",0.06027139000070747,2048
75,185.0,8,0.4,100,"[4, 4, 4, 4, 3, 3, 4, 2, 4, 1]",0.11709895300009521,2048
76,187.0,16,0.4,100,"[4, 4, 4, 4, 2, 4, 4, 2, 4, 1]",0.20002711599954637,2048
77,187.0,32,0.4,100,"[4, 4, 4, 4, 2, 4, 4, 2, 4, 1]",0.328306295999937,2048
78,187.0,64,0.4,100,"[4, 4, 4, 4, 2, 4, 4, 2, 4, 1]",0.5522417210013373,2048
