,Fitness,Iteration,Keep Percent,Population Size,State,Time,max_iters,use_fast_mimic
0,92.0,0,0.01,50,"[3, 4, 0, 1, 3, 0, 0, 1, 4, 4]",0.0011243039989494719,2048,False
1,159.0,2,0.01,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",0.06541514499986079,2048,False
2,159.0,4,0.01,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",0.13413560899789445,2048,False
3,159.0,8,0.01,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",0.26276211199729005,2048,False
4,159.0,16,0.01,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",0.5162161339976592,2048,False
5,159.0,32,0.01,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",1.0099757539974235,2048,False
6,159.0,64,0.01,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",2.0024431579986413,2048,False
7,159.0,128,0.01,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",3.9670476999999664,2048,False
8,159.0,256,0.01,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",7.9105652359976375,2048,False
9,159.0,512,0.01,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",15.433587748997525,2048,False
10,159.0,1024,0.01,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",15.433587748997525,2048,False
11,159.0,2048,0.01,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",15.433587748997525,2048,False
12,92.0,0,0.02,50,"[3, 4, 0, 1, 3, 0, 0, 1, 4, 4]",0.00108800299858558,2048,False
13,159.0,2,0.02,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",0.06409692599845584,2048,False
14,159.0,4,0.02,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",0.13645970099969418,2048,False
15,159.0,8,0.02,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",0.2716233999999531,2048,False
16,159.0,16,0.02,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",0.5271293969999533,2048,False
17,159.0,32,0.02,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",1.031753661998664,2048,False
18,159.0,64,0.02,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",2.023952092997206,2048,False
19,159.0,128,0.02,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",3.9995485759973235,2048,False
20,159.0,256,0.02,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",7.953858182998374,2048,False
21,159.0,512,0.02,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",15.557675616997585,2048,False
22,159.0,1024,0.02,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",15.557675616997585,2048,False
23,159.0,2048,0.02,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",15.557675616997585,2048,False
24,92.0,0,0.04,50,"[3, 4, 0, 1, 3, 0, 0, 1, 4, 4]",0.0011251270007051062,2048,False
25,159.0,2,0.04,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",0.0659780519999913,2048,False
26,159.0,4,0.04,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",0.14367700799994054,2048,False
27,159.0,8,0.04,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",0.2823776289988018,2048,False
28,159.0,16,0.04,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",0.5427761950013519,2048,False
29,159.0,32,0.04,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",1.0490066530001059,2048,False
30,159.0,64,0.04,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",2.0468407170010323,2048,False
31,159.0,128,0.04,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",4.021507344001293,2048,False
32,159.0,256,0.04,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",7.961242261000734,2048,False
33,159.0,512,0.04,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",15.50051622799947,2048,False
34,159.0,1024,0.04,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",15.50051622799947,2048,False
35,159.0,2048,0.04,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",15.50051622799947,2048,False
36,92.0,0,0.08,50,"[3, 4, 0, 1, 3, 0, 0, 1, 4, 4]",0.0011066620027122553,2048,False
37,159.0,2,0.08,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",0.0658875410008477,2048,False
38,159.0,4,0.08,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",0.14916301400080556,2048,False
39,159.0,8,0.08,50,"[0.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 0.0, 3.0, 1.0]",0.2916945300021325,2048,False
