,Fitness,Iteration,Restarts,State,Time,current_restart,max_iters
0,92.0,0,10,"[3, 4, 0, 1, 3, 0, 0, 1, 4, 4]",8.899599924916402e-05,0,2048
1,111.0,2,10,"[3, 4, 1, 1, 3, 0, 2, 1, 4, 4]",0.0004100580008525867,0,2048
2,129.0,4,10,"[3, 4, 1, 1, 4, 3, 2, 1, 4, 4]",0.0033697559993015602,0,2048
3,135.0,8,10,"[3, 4, 1, 1, 4, 3, 2, 3, 4, 4]",0.00627901999905589,0,2048
4,135.0,16,10,"[3, 4, 1, 1, 4, 3, 2, 3, 4, 4]",0.009426540000276873,0,2048
5,145.0,32,10,"[3, 4, 1, 2, 4, 3, 2, 3, 4, 4]",0.013062854999589035,0,2048
6,145.0,64,10,"[3, 4, 1, 2, 4, 3, 2, 3, 4, 4]",0.017656126998190302,0,2048
7,145.0,128,10,"[3, 4, 1, 2, 4, 3, 2, 3, 4, 4]",0.024212427000747994,0,2048
8,145.0,256,10,"[3, 4, 1, 2, 4, 3, 2, 3, 4, 4]",0.03514583300056984,0,2048
9,145.0,512,10,"[3, 4, 1, 2, 4, 3, 2, 3, 4, 4]",0.057044516997848405,0,2048
10,145.0,1024,10,"[3, 4, 1, 2, 4, 3, 2, 3, 4, 4]",0.0658451140006946,0,2048
11,145.0,2048,10,"[3, 4, 1, 2, 4, 3, 2, 3, 4, 4]",0.0658451140006946,0,2048
12,110.0,0,10,"[1, 3, 2, 3, 0, 0, 4, 0, 2, 2]",0.07336984200082952,1,2048
13,120.0,2,10,"[1, 3, 2, 3, 0, 0, 4, 0, 4, 2]",0.07375522899747011,1,2048
14,135.0,4,10,"[1, 3, 2, 3, 2, 0, 4, 3, 4, 2]",0.08133857999928296,1,2048
15,153.0,8,10,"[1, 3, 2, 3, 2, 3, 4, 3, 4, 3]",0.08919165999759571,1,2048
16,159.0,16,10,"[1, 3, 2, 3, 3, 3, 4, 4, 4, 3]",0.09741519599992898,1,2048
17,159.0,32,10,"[1, 3, 2, 3, 3, 3, 4, 4, 4, 3]",0.10632939199786051,1,2048
18,159.0,64,10,"[1, 3, 2, 3, 3, 3, 4, 4, 4, 3]",0.11665535499923863,1,2048
