,Fitness,Iteration,State,Temperature,Time,max_iters,schedule_current_value,schedule_decay,schedule_init_temp,schedule_min_temp,schedule_type
0,92.0,0,"[3, 4, 0, 1, 3, 0, 0, 1, 4, 4]",2,0.00010604600174701773,2048,1.999997868405269,0.99,2,0.001,geometric
1,111.0,2,"[3, 4, 1, 1, 3, 0, 2, 1, 4, 4]",2,0.00046668300274177454,2048,1.9999906193801698,0.99,2,0.001,geometric
2,129.0,4,"[3, 4, 1, 1, 4, 3, 2, 1, 4, 4]",2,0.003719837000971893,2048,1.9999252301753063,0.99,2,0.001,geometric
3,129.0,8,"[3, 4, 1, 1, 4, 3, 2, 1, 4, 4]",2,0.006784427001548465,2048,1.9998636331093154,0.99,2,0.001,geometric
4,159.0,16,"[3, 4, 1, 4, 4, 3, 2, 1, 4, 4]",2,0.010153147002711194,2048,1.9997959253376307,0.99,2,0.001,geometric
5,159.0,32,"[3, 4, 1, 4, 3, 3, 2, 2, 4, 4]",2,0.013862963001884054,2048,1.9997213645430452,0.99,2,0.001,geometric
6,162.0,64,"[3, 4, 1, 4, 2, 3, 3, 2, 4, 4]",2,0.018973121001181426,2048,1.9996186638824285,0.99,2,0.001,geometric
7,170.0,128,"[4, 4, 1, 4, 2, 3, 4, 2, 4, 4]",2,0.026341098000557395,2048,1.999470596316121,0.99,2,0.001,geometric
8,170.0,256,"[4, 4, 1, 4, 2, 3, 4, 2, 4, 4]",2,0.03895679600100266,2048,1.9992170955076893,0.99,2,0.001,geometric
9,170.0,512,"[4, 4, 1, 4, 2, 3, 4, 2, 4, 4]",2,0.06377799800247885,2048,1.9987184301808134,0.99,2,0.001,geometric
10,170.0,1024,"[4, 4, 1, 4, 2, 3, 4, 2, 4, 4]",2,0.07650343299974338,2048,1.998462820641769,0.99,2,0.001,geometric
11,170.0,2048,"[4, 4, 1, 4, 2, 3, 4, 2, 4, 4]",2,0.07650343299974338,2048,1.998462820641769,0.99,2,0.001,geometric
12,92.0,0,"[3, 4, 0, 1, 3, 0, 0, 1, 4, 4]",4,4.7948000428732485e-05,2048,3.999998072426433,0.99,4,0.001,geometric
13,111.0,2,"[3, 4, 1, 1, 3, 0, 2, 1, 4, 4]",4,0.0003608369988796767,2048,3.999985493894195,0.99,4,0.001,geometric
14,129.0,4,"[3, 4, 1, 1, 4, 3, 2, 1, 4, 4]",4,0.007908807001513196,2048,3.9996820679695038,0.99,4,0.001,geometric
15,126.0,8,"[3, 4, 1, 1, 4, 3, 2, 1, 4, 3]",4,0.01563928999894415,2048,3.9993713289405908,0.99,4,0.001,geometric
16,147.0,16,"[3, 4, 1, 4, 0, 3, 2, 1, 4, 4]",4,0.02381439799864893,2048,3.9990427437685727,0.99,4,0.001,geometric
