,Fitness,Iteration,Keep Percent,Population Size,Time,max_iters,use_fast_mimic
0,6.0,0,0.01,50,0.0022239879981498234,2048,False
1,6.0,1,0.01,50,0.12775787500140723,2048,False
2,6.0,2,0.01,50,0.25587452000036137,2048,False
3,6.0,3,0.01,50,0.39140612700066413,2048,False
4,6.0,4,0.01,50,0.522259576999204,2048,False
5,6.0,5,0.01,50,0.6571257290015637,2048,False
6,6.0,6,0.01,50,0.7938735309980984,2048,False
7,6.0,7,0.01,50,0.9205200979995425,2048,False
8,6.0,8,0.01,50,1.055646444001468,2048,False
9,6.0,9,0.01,50,1.1870073860009143,2048,False
10,6.0,10,0.01,50,1.3115357050010061,2048,False
11,6.0,11,0.01,50,1.434399025998573,2048,False
12,6.0,12,0.01,50,1.5584638609980175,2048,False
13,6.0,13,0.01,50,1.6814913700000034,2048,False
14,6.0,14,0.01,50,1.804874989000382,2048,False
15,6.0,15,0.01,50,1.928168103000644,2048,False
16,6.0,16,0.01,50,2.050616201999219,2048,False
17,6.0,17,0.01,50,2.18053648500063,2048,False
18,6.0,18,0.01,50,2.304984769998555,2048,False
19,6.0,19,0.01,50,2.4279672170014237,2048,False
20,5.0,20,0.01,50,2.550403445999109,2048,False
21,5.0,21,0.01,50,2.671800329000689,2048,False
22,5.0,22,0.01,50,2.785553928999434,2048,False
23,5.0,23,0.01,50,2.9037872049993894,2048,False
24,5.0,24,0.01,50,3.022002401001373,2048,False
25,5.0,25,0.01,50,3.141513173999556,2048,False
26,5.0,26,0.01,50,3.259508637998806,2048,False
27,5.0,27,0.01,50,3.3798282550014846,2048,False
28,5.0,28,0.01,50,3.4977883770006883,2048,False
29,5.0,29,0.01,50,3.616383582000708,2048,False
30,5.0,30,0.01,50,3.735020420001092,2048,False
31,5.0,31,0.01,50,3.8525376280013006,2048,False
32,5.0,32,0.01,50,3.9710401789998286,2048,False
33,5.0,33,0.01,50,4.097290208999766,2048,False
34,5.0,34,0.01,50,4.216014721001557,2048,False
35,5.0,35,0.01,50,4.33523607999814,2048,False
36,5.0,36,0.01,50,4.454056487000344,2048,False
37,5.0,37,0.01,50,4.574395675001142,2048,False
38,5.0,38,0.01,50,4.692841912001313,2048,False
39,5.0,39,0.01,50,4.810661096998956,2048,False
40,5.0,40,0.01,50,4.928940715999488,2048,False
41,5.0,41,0.01,50,5.047596143998817,2048,False
42,5.0,42,0.01,50,5.167337269998825,2048,False
43,5.0,43,0.01,50,5.2865372839987685,2048,False
44,5.0,44,0.01,50,5.404835820001608,2048,False
45,5.0,45,0.01,50,5.524080986000627,2048,False
46,5.0,46,0.01,50,5.642284395999013,2048,False
47,5.0,47,0.01,50,5.762048459000653,2048,False
48,5.0,48,0.01,50,5.881474904999777,2048,False
49,5.0,49,0.01,50,5.999863885001105,2048,False
50,5.0,50,0.01,50,6.11993669399817,2048,False
51,5.0,51,0.01,50,6.238723885999207,2048,False
52,5.0,52,0.01,50,6.358609085000353,2048,False
53,5.0,53,0.01,50,6.477680391999456,2048,False
54,5.0,54,0.01,50,6.598172182999406,2048,False
55,5.0,55,0.01,50,6.717640830000164,2048,False
56,5.0,56,0.01,50,6.835788347998459,2048,False
57,5.0,57,0.01,50,6.954812291998678,2048,False
58,5.0,58,0.01,50,7.074607866998122,2048,False
59,5.0,59,0.01,50,7.192913792998297,2048,False
60,5.0,60,0.01,50,7.313081427000725,2048,False
61,5.0,61,0.01,50,7.431987154999661,2048,False
62,5.0,62,0.01,50,7.55354465200071,2048,False
63,5.0,63,0.01,50,7.672437850000279,2048,False
64,5.0,64,0.01,50,7.790395416999672,2048,False
65,5.0,65,0.01,50,7.9165395659983915,2048,False
66,5.0,66,0.01,50,8.03448549300083,2048,False
67,5.0,67,0.01,50,8.15427771800023,2048,False
68,5.0,68,0.01,50,8.27308763900146,2048,False
69,5.0,69,0.01,50,8.392928762001247,2048,False
70,5.0,70,0.01,50,8.512339681998128,2048,False
71,5.0,71,0.01,50,8.632255548000103,2048,False
72,5.0,72,0.01,50,8.751745952999045,2048,False
73,5.0,73,0.01,50,8.870204972998181,2048,False
74,5.0,74,0.01,50,8.992772468998737,2048,False
75,5.0,75,0.01,50,9.111821490001603,2048,False
76,5.0,76,0.01,50,9.229661467998085,2048,False
77,5.0,77,0.01,50,9.350211328001024,2048,False
78,5.0,78,0.01,50,9.468492199001048,2048,False
79,5.0,79,0.01,50,9.591911138999421,2048,False
80,5.0,80,0.01,50,9.710179439000058,2048,False
81,5.0,81,0.01,50,9.829806780999206,2048,False
82,5.0,82,0.01,50,9.94977863999884,2048,False
83,5.0,83,0.01,50,10.06849145399974,2048,False
84,5.0,84,0.01,50,10.186435897001502,2048,False
85,5.0,85,0.01,50,10.305383932998666,2048,False
86,5.0,86,0.01,50,10.422902573998726,2048,False
87,5.0,87,0.01,50,10.541985356998339,2048,False
