,Fitness,Iteration,Keep Percent,Population Size,State,Time,max_iters,use_fast_mimic
0,7.0,0,0.01,50,"[1, 3, 0, 0, 3, 1, 3, 1, 3, 0, 0, 1, 0, 3, 1, 0, 2, 1, 2, 0]",0.0022239879981498234,2048,False
1,6.0,2,0.01,50,"[0.0, 2.0, 1.0, 3.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 3.0, 2.0, 0.0, 0.0]",0.25587452000036137,2048,False
2,6.0,4,0.01,50,"[0.0, 2.0, 1.0, 3.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 3.0, 2.0, 0.0, 0.0]",0.522259576999204,2048,False
3,6.0,8,0.01,50,"[0.0, 2.0, 1.0, 3.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 3.0, 2.0, 0.0, 0.0]",1.055646444001468,2048,False
4,6.0,16,0.01,50,"[0.0, 2.0, 1.0, 3.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 3.0, 2.0, 0.0, 0.0]",2.050616201999219,2048,False
5,5.0,32,0.01,50,"[0.0, 3.0, 3.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, 3.0, 1.0, 3.0]",3.9710401789998286,2048,False
6,5.0,64,0.01,50,"[0.0, 3.0, 3.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, 3.0, 1.0, 3.0]",7.790395416999672,2048,False
7,5.0,128,0.01,50,"[0.0, 3.0, 3.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, 3.0, 1.0, 3.0]",15.38238626599923,2048,False
8,5.0,256,0.01,50,"[0.0, 3.0, 3.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, 3.0, 1.0, 3.0]",30.570146318001207,2048,False
9,5.0,512,0.01,50,"[0.0, 3.0, 3.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, 3.0, 1.0, 3.0]",60.89242811599979,2048,False
10,5.0,1024,0.01,50,"[0.0, 3.0, 3.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, 3.0, 1.0, 3.0]",61.97481381000034,2048,False
11,5.0,2048,0.01,50,"[0.0, 3.0, 3.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, 3.0, 1.0, 3.0]",61.97481381000034,2048,False
12,7.0,0,0.02,50,"[1, 3, 0, 0, 3, 1, 3, 1, 3, 0, 0, 1, 0, 3, 1, 0, 2, 1, 2, 0]",0.0021242050024739,2048,False
13,6.0,2,0.02,50,"[0.0, 2.0, 1.0, 3.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 3.0, 2.0, 0.0, 0.0]",0.24578399600068224,2048,False
14,6.0,4,0.02,50,"[0.0, 2.0, 1.0, 3.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 3.0, 2.0, 0.0, 0.0]",0.5031176219999907,2048,False
15,6.0,8,0.02,50,"[0.0, 2.0, 1.0, 3.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 3.0, 2.0, 0.0, 0.0]",1.0070716980008,2048,False
16,6.0,16,0.02,50,"[0.0, 2.0, 1.0, 3.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 3.0, 2.0, 0.0, 0.0]",2.005482923999807,2048,False
17,5.0,32,0.02,50,"[0.0, 3.0, 3.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, 3.0, 1.0, 3.0]",3.9273677870005486,2048,False
18,5.0,64,0.02,50,"[0.0, 3.0, 3.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, 3.0, 1.0, 3.0]",7.757652951000637,2048,False
19,5.0,128,0.02,50,"[0.0, 3.0, 3.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, 3.0, 1.0, 3.0]",15.378190981002263,2048,False
20,5.0,256,0.02,50,"[0.0, 3.0, 3.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, 3.0, 1.0, 3.0]",30.569978245999664,2048,False
21,5.0,512,0.02,50,"[0.0, 3.0, 3.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, 3.0, 1.0, 3.0]",60.99552385300194,2048,False
22,5.0,1024,0.02,50,"[0.0, 3.0, 3.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, 3.0, 1.0, 3.0]",62.080802841999684,2048,False
23,5.0,2048,0.02,50,"[0.0, 3.0, 3.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, 3.0, 1.0, 3.0]",62.080802841999684,2048,False
24,7.0,0,0.04,50,"[1, 3, 0, 0, 3, 1, 3, 1, 3, 0, 0, 1, 0, 3, 1, 0, 2, 1, 2, 0]",0.002505714997823816,2048,False
25,6.0,2,0.04,50,"[0.0, 2.0, 1.0, 3.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 3.0, 2.0, 0.0, 0.0]",0.2482673150007031,2048,False
26,6.0,4,0.04,50,"[0.0, 2.0, 1.0, 3.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 3.0, 2.0, 0.0, 0.0]",0.5106889009985025,2048,False
27,6.0,8,0.04,50,"[0.0, 2.0, 1.0, 3.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 3.0, 2.0, 0.0, 0.0]",1.0190182340011233,2048,False
28,6.0,16,0.04,50,"[0.0, 2.0, 1.0, 3.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 3.0, 2.0, 0.0, 0.0]",2.019400142999075,2048,False
29,5.0,32,0.04,50,"[0.0, 3.0, 3.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, 3.0, 1.0, 3.0]",3.96514433899938,2048,False
