,Fitness,Iteration,Restarts,State,Time,current_restart,max_iters
0,7.0,0,10,"[1, 3, 0, 0, 3, 1, 3, 1, 3, 0, 0, 1, 0, 3, 1, 0, 2, 1, 2, 0]",8.254400017904118e-05,0,2048
1,6.0,2,10,"[1, 3, 0, 0, 3, 1, 3, 1, 3, 0, 0, 0, 0, 3, 1, 0, 2, 1, 2, 0]",0.00047917600022628903,0,2048
2,6.0,4,10,"[1, 3, 0, 0, 3, 1, 3, 1, 3, 0, 0, 0, 0, 3, 1, 0, 2, 1, 2, 0]",0.003462310000031721,0,2048
3,6.0,8,10,"[1, 3, 0, 0, 3, 1, 3, 1, 3, 0, 0, 0, 0, 3, 1, 0, 2, 1, 2, 0]",0.006397411998477764,0,2048
4,2.0,16,10,"[1, 3, 0, 0, 3, 1, 3, 1, 3, 2, 0, 0, 0, 2, 1, 0, 2, 1, 2, 0]",0.009703563999210019,0,2048
5,2.0,32,10,"[1, 3, 0, 0, 3, 1, 3, 1, 3, 2, 0, 0, 0, 2, 1, 0, 2, 1, 2, 0]",0.013525353999284562,0,2048
6,1.0,64,10,"[1, 3, 0, 0, 3, 2, 3, 1, 3, 2, 0, 0, 0, 2, 1, 0, 2, 1, 2, 0]",0.018710069998633116,0,2048
7,1.0,128,10,"[1, 3, 0, 0, 3, 2, 3, 1, 3, 2, 0, 0, 0, 2, 1, 0, 2, 1, 2, 0]",0.02627816699896357,0,2048
8,1.0,256,10,"[1, 3, 0, 0, 3, 2, 3, 1, 3, 2, 0, 0, 0, 2, 1, 0, 2, 1, 2, 0]",0.039729976997477934,0,2048
9,1.0,512,10,"[1, 3, 0, 0, 3, 2, 3, 1, 3, 2, 0, 0, 0, 2, 1, 0, 2, 1, 2, 0]",0.06610822999937227,0,2048
10,1.0,1024,10,"[1, 3, 0, 0, 3, 2, 3, 1, 3, 2, 0, 0, 0, 2, 1, 0, 2, 1, 2, 0]",0.07833159299843828,0,2048
11,1.0,2048,10,"[1, 3, 0, 0, 3, 2, 3, 1, 3, 2, 0, 0, 0, 2, 1, 0, 2, 1, 2, 0]",0.07833159299843828,0,2048
12,10.0,0,10,"[3, 1, 3, 1, 3, 3, 0, 2, 3, 0, 1, 2, 1, 3, 0, 2, 1, 2, 1, 2]",0.0861155710008461,1,2048
13,7.0,2,10,"[3, 0, 3, 1, 3, 3, 0, 2, 3, 0, 1, 2, 1, 3, 0, 2, 1, 2, 1, 2]",0.08651700299742515,1,2048
14,7.0,4,10,"[3, 0, 3, 1, 3, 3, 0, 2, 3, 0, 1, 2, 1, 3, 0, 2, 1, 2, 1, 2]",0.09429003100012778,1,2048
15,6.0,8,10,"[3, 0, 3, 1, 3, 3, 0, 3, 3, 0, 1, 2, 1, 3, 0, 2, 1, 2, 1, 2]",0.10235525499956566,1,2048
16,3.0,16,10,"[3, 0, 3, 1, 3, 3, 0, 3, 0, 0, 1, 2, 1, 3, 3, 2, 1, 2, 1, 2]",0.11088068499884685,1,2048
17,2.0,32,10,"[3, 0, 3, 1, 3, 3, 0, 3, 0, 0, 1, 3, 1, 3, 3, 2, 1, 2, 1, 2]",0.12037571800101432,1,2048
18,1.0,64,10,"[3, 0, 3, 1, 3, 3, 0, 3, 0, 0, 1, 3, 1, 3, 2, 2, 1, 2, 1, 2]",0.13157458400019095,1,2048
