,Fitness,Iteration,State,Temperature,Time,max_iters,schedule_current_value,schedule_decay,schedule_init_temp,schedule_min_temp,schedule_type
0,7.0,0,"[1, 3, 0, 0, 3, 1, 3, 1, 3, 0, 0, 1, 0, 3, 1, 0, 2, 1, 2, 0]",2,7.454400110873394e-05,2048,1.9999985016160673,0.99,2,0.001,geometric
1,9.0,2,"[1, 3, 0, 0, 3, 3, 3, 1, 3, 0, 1, 1, 0, 3, 1, 0, 2, 1, 2, 0]",2,0.0005809009999211412,2048,1.9999883235337914,0.99,2,0.001,geometric
2,8.0,4,"[1, 3, 0, 0, 3, 3, 3, 1, 3, 2, 1, 1, 0, 3, 1, 0, 2, 1, 0, 0]",2,0.003947331999370363,2048,1.99992065754921,0.99,2,0.001,geometric
3,9.0,8,"[3, 0, 0, 0, 3, 3, 3, 1, 0, 1, 1, 1, 0, 3, 1, 0, 2, 1, 0, 0]",2,0.00731302200074424,2048,1.9998530087474486,0.99,2,0.001,geometric
4,10.0,16,"[3, 0, 0, 1, 1, 3, 3, 2, 0, 1, 1, 0, 0, 3, 1, 0, 1, 1, 1, 0]",2,0.011107176000223262,2048,1.9997767507626105,0.99,2,0.001,geometric
5,7.0,32,"[3, 2, 0, 1, 2, 3, 0, 2, 1, 3, 3, 0, 0, 3, 0, 0, 0, 1, 1, 0]",2,0.015824098998564295,2048,1.9996819502725593,0.99,2,0.001,geometric
6,5.0,64,"[2, 3, 0, 0, 2, 0, 3, 1, 1, 3, 0, 2, 2, 0, 0, 1, 1, 3, 0, 0]",2,0.022533709001436364,2048,1.9995471085984189,0.99,2,0.001,geometric
7,5.0,128,"[2, 3, 0, 1, 3, 0, 1, 0, 0, 0, 3, 0, 3, 2, 3, 2, 0, 2, 3, 3]",2,0.03227443099967786,2048,1.9993513674617345,0.99,2,0.001,geometric
8,2.0,256,"[1, 3, 2, 0, 3, 0, 1, 1, 1, 2, 1, 2, 3, 2, 0, 2, 2, 3, 0, 3]",2,0.0478229949985689,2048,1.9990389566525624,0.99,2,0.001,geometric
9,0.0,512,"[3, 1, 0, 0, 0, 0, 1, 3, 1, 3, 0, 2, 0, 2, 0, 2, 2, 3, 3, 2]",2,0.05974114499986172,2048,1.9987995232872784,0.99,2,0.001,geometric
10,0.0,1024,"[3, 1, 0, 0, 0, 0, 1, 3, 1, 3, 0, 2, 0, 2, 0, 2, 2, 3, 3, 2]",2,0.05974114499986172,2048,1.9987995232872784,0.99,2,0.001,geometric
11,0.0,2048,"[3, 1, 0, 0, 0, 0, 1, 3, 1, 3, 0, 2, 0, 2, 0, 2, 2, 3, 3, 2]",2,0.05974114499986172,2048,1.9987995232872784,0.99,2,0.001,geometric
12,7.0,0,"[1, 3, 0, 0, 3, 1, 3, 1, 3, 0, 0, 1, 0, 3, 1, 0, 2, 1, 2, 0]",4,6.12639996688813e-05,2048,3.9999975371056684,0.99,4,0.001,geometric
13,9.0,2,"[1, 3, 0, 0, 3, 3, 3, 1, 3, 0, 1, 1, 0, 3, 1, 0, 2, 1, 2, 0]",4,0.0004897569997410756,2048,3.9999803111591206,0.99,4,0.001,geometric
14,8.0,4,"[1, 3, 0, 0, 3, 3, 3, 1, 3, 2, 1, 1, 0, 3, 1, 0, 2, 1, 0, 0]",4,0.006505679000838427,2048,3.9997384715143625,0.99,4,0.001,geometric
15,9.0,8,"[3, 0, 0, 0, 3, 3, 3, 1, 0, 1, 1, 1, 0, 3, 1, 0, 2, 1, 0, 0]",4,0.012702611998975044,2048,3.9994893705283556,0.99,4,0.001,geometric
16,10.0,16,"[3, 0, 0, 1, 1, 3, 3, 2, 0, 1, 1, 0, 0, 3, 1, 0, 1, 1, 1, 0]",4,0.01946097399923019,2048,3.9992177192064657,0.99,4,0.001,geometric
17,11.0,32,"[0, 2, 0, 1, 2, 3, 0, 2, 1, 3, 3, 0, 0, 3, 0, 0, 0, 1, 1, 3]",4,0.027276952998363413,2048,3.998903580139754,0.99,4,0.001,geometric
18,6.0,64,"[1, 1, 0, 0, 2, 0, 1, 1, 1, 0, 1, 2, 2, 0, 0, 1, 1, 3, 0, 3]",4,0.03693721200033906,2048,3.9985153500469988,0.99,4,0.001,geometric
19,4.0,128,"[0, 3, 2, 2, 3, 3, 1, 0, 0, 1, 3, 0, 2, 1, 0, 1, 1, 0, 2, 2]",4,0.05019797299974016,2048,3.997982483016747,0.99,4,0.001,geometric
20,0.0,256,"[0, 2, 2, 1, 2, 1, 3, 2, 1, 0, 2, 2, 2, 3, 0, 1, 3, 0, 0, 3]",4,0.06744248799805064,2048,3.997289640050689,0.99,4,0.001,geometric
21,0.0,512,"[0, 2, 2, 1, 2, 1, 3, 2, 1, 0, 2, 2, 2, 3, 0, 1, 3, 0, 0, 3]",4,0.06744248799805064,2048,3.997289640050689,0.99,4,0.001,geometric
22,0.0,1024,"[0, 2, 2, 1, 2, 1, 3, 2, 1, 0, 2, 2, 2, 3, 0, 1, 3, 0, 0, 3]",4,0.06744248799805064,2048,3.997289640050689,0.99,4,0.001,geometric
23,0.0,2048,"[0, 2, 2, 1, 2, 1, 3, 2, 1, 0, 2, 2, 2, 3, 0, 1, 3, 0, 0, 3]",4,0.06744248799805064,2048,3.997289640050689,0.99,4,0.001,geometric
24,7.0,0,"[1, 3, 0, 0, 3, 1, 3, 1, 3, 0, 0, 1, 0, 3, 1, 0, 2, 1, 2, 0]",8,5.8693000028142706e-05,2048,7.999995280926492,0.99,8,0.001,geometric
25,9.0,2,"[1, 3, 0, 0, 3, 3, 3, 1, 3, 0, 1, 1, 0, 3, 1, 0, 2, 1, 2, 0]",8,0.0004858760003116913,2048,7.999960934359493,0.99,8,0.001,geometric
26,8.0,4,"[1, 3, 0, 0, 3, 3, 3, 1, 3, 2, 1, 1, 0, 3, 1, 0, 2, 1, 0, 0]",8,0.00821690100201522,2048,7.99933936636084,0.99,8,0.001,geometric
27,9.0,8,"[3, 0, 0, 0, 3, 3, 3, 1, 0, 1, 1, 1, 0, 3, 1, 0, 2, 1, 0, 0]",8,0.016341665999789257,2048,7.998686194038565,0.99,8,0.001,geometric
28,10.0,16,"[3, 0, 0, 1, 1, 3, 3, 2, 0, 1, 1, 0, 0, 3, 1, 0, 1, 1, 1, 0]",8,0.025232683001377154,2048,7.9979714817146945,0.99,8,0.001,geometric
29,14.0,32,"[0, 2, 3, 1, 2, 3, 2, 1, 0, 3, 3, 1, 0, 0, 0, 2, 0, 1, 1, 3]",8,0.03495912500147824,2048,7.9971896861528515,0.99,8,0.001,geometric
30,8.0,64,"[2, 2, 0, 0, 2, 1, 3, 0, 2, 3, 0, 2, 0, 1, 1, 0, 0, 3, 0, 3]",8,0.046338986001501326,2048,7.996275088475237,0.99,8,0.001,geometric
31,5.0,128,"[3, 2, 3, 1, 1, 1, 0, 1, 1, 1, 3, 0, 3, 0, 1, 0, 0, 2, 2, 2]",8,0.06181130600089091,2048,7.9950317482805175,0.99,8,0.001,geometric
32,5.0,256,"[0, 1, 0, 0, 2, 1, 1, 2, 1, 1, 2, 1, 0, 2, 2, 1, 3, 3, 0, 3]",8,0.08434394399955636,2048,7.993221393751971,0.99,8,0.001,geometric
33,0.0,512,"[1, 1, 2, 0, 2, 2, 1, 3, 1, 2, 0, 2, 0, 2, 0, 0, 2, 3, 3, 0]",8,0.1058835399999225,2048,7.991491207076525,0.99,8,0.001,geometric
34,0.0,1024,"[1, 1, 2, 0, 2, 2, 1, 3, 1, 2, 0, 2, 0, 2, 0, 0, 2, 3, 3, 0]",8,0.1058835399999225,2048,7.991491207076525,0.99,8,0.001,geometric
35,0.0,2048,"[1, 1, 2, 0, 2, 2, 1, 3, 1, 2, 0, 2, 0, 2, 0, 0, 2, 3, 3, 0]",8,0.1058835399999225,2048,7.991491207076525,0.99,8,0.001,geometric
36,7.0,0,"[1, 3, 0, 0, 3, 1, 3, 1, 3, 0, 0, 1, 0, 3, 1, 0, 2, 1, 2, 0]",16,6.043399844202213e-05,2048,15.99999028189125,0.99,16,0.001,geometric
