,Fitness,Iteration,Mutation Rate,Population Size,State,Time,max_iters
0,17.0,0,0.2,50,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",0.026338288000260945,2048
1,12.0,2,0.2,50,"[10, 6, 17, 9, 4, 1, 2, 11, 7, 13, 19, 9, 11, 15, 7, 6, 10, 18, 8, 0]",0.08380678100002115,2048
2,12.0,4,0.2,50,"[10, 6, 17, 9, 4, 1, 2, 11, 7, 13, 19, 9, 11, 15, 7, 6, 10, 18, 8, 0]",0.1422299590012699,2048
3,12.0,8,0.2,50,"[10, 6, 17, 9, 4, 1, 2, 11, 7, 13, 19, 9, 11, 15, 7, 6, 10, 18, 8, 0]",0.2554805949985166,2048
4,9.0,16,0.2,50,"[13, 9, 5, 13, 4, 2, 17, 12, 16, 13, 1, 9, 18, 15, 0, 18, 10, 12, 14, 18]",0.4776382519994513,2048
5,5.0,32,0.2,50,"[3, 6, 17, 13, 4, 1, 7, 11, 16, 13, 1, 9, 18, 15, 0, 2, 10, 12, 14, 18]",0.9162473549986316,2048
6,2.0,64,0.2,50,"[3, 6, 17, 13, 4, 2, 7, 11, 16, 18, 1, 9, 19, 15, 0, 8, 10, 12, 14, 18]",1.779188050000812,2048
7,2.0,128,0.2,50,"[3, 6, 17, 13, 4, 2, 7, 11, 16, 18, 1, 9, 19, 15, 0, 8, 10, 12, 14, 18]",3.4936672459989495,2048
8,1.0,256,0.2,50,"[3, 14, 17, 13, 4, 2, 7, 11, 16, 18, 1, 9, 19, 15, 0, 8, 10, 12, 14, 6]",6.916838007000479,2048
9,0.0,512,0.2,50,"[5, 14, 17, 13, 4, 2, 7, 11, 16, 18, 1, 9, 19, 15, 0, 8, 10, 12, 3, 6]",9.500880064999365,2048
10,0.0,1024,0.2,50,"[5, 14, 17, 13, 4, 2, 7, 11, 16, 18, 1, 9, 19, 15, 0, 8, 10, 12, 3, 6]",9.500880064999365,2048
11,0.0,2048,0.2,50,"[5, 14, 17, 13, 4, 2, 7, 11, 16, 18, 1, 9, 19, 15, 0, 8, 10, 12, 3, 6]",9.500880064999365,2048
12,17.0,0,0.3,50,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",0.026836930999706965,2048
13,11.0,2,0.3,50,"[5, 5, 0, 1, 11, 8, 18, 3, 12, 9, 12, 1, 4, 7, 0, 6, 1, 14, 9, 7]",0.08491110700197169,2048
14,11.0,4,0.3,50,"[5, 5, 0, 1, 11, 8, 18, 3, 12, 9, 12, 1, 4, 7, 0, 6, 1, 14, 9, 7]",0.1482435220023035,2048
15,9.0,8,0.3,50,"[14, 9, 18, 1, 12, 17, 3, 10, 15, 5, 11, 2, 16, 7, 1, 17, 2, 1, 8, 18]",0.2652014790000976,2048
16,5.0,16,0.3,50,"[3, 5, 0, 11, 17, 2, 13, 18, 9, 19, 1, 2, 4, 7, 0, 15, 6, 10, 14, 7]",0.4924710250015778,2048
17,4.0,32,0.3,50,"[15, 5, 18, 11, 17, 2, 13, 18, 0, 3, 1, 7, 1, 19, 14, 1, 6, 10, 16, 7]",0.9304589640014456,2048
18,3.0,64,0.3,50,"[15, 5, 18, 11, 17, 2, 13, 18, 9, 3, 1, 7, 4, 19, 14, 18, 6, 10, 16, 7]",1.7961717050020525,2048
19,3.0,128,0.3,50,"[15, 5, 18, 11, 17, 2, 13, 18, 9, 3, 1, 7, 4, 19, 14, 18, 6, 10, 16, 7]",3.521866274000786,2048
20,3.0,256,0.3,50,"[15, 5, 18, 11, 17, 2, 13, 18, 9, 3, 1, 7, 4, 19, 14, 18, 6, 10, 16, 7]",6.970552148002753,2048
21,2.0,512,0.3,50,"[15, 0, 11, 11, 6, 2, 13, 17, 9, 3, 1, 7, 4, 19, 14, 18, 5, 10, 16, 7]",13.889728396999999,2048
22,2.0,1024,0.3,50,"[15, 0, 11, 11, 6, 2, 13, 17, 9, 3, 1, 7, 4, 19, 14, 18, 5, 10, 16, 7]",22.824959126002796,2048
23,2.0,2048,0.3,50,"[15, 0, 11, 11, 6, 2, 13, 17, 9, 3, 1, 7, 4, 19, 14, 18, 5, 10, 16, 7]",22.824959126002796,2048
24,17.0,0,0.4,50,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",0.027012921000277856,2048
25,13.0,2,0.4,50,"[14, 18, 4, 9, 11, 2, 0, 14, 9, 18, 1, 0, 17, 15, 13, 19, 15, 5, 2, 19]",0.08409437199952663,2048
26,11.0,4,0.4,50,"[7, 10, 12, 17, 15, 7, 19, 19, 14, 19, 6, 19, 0, 3, 3, 6, 13, 8, 5, 18]",0.15515348100234405,2048
27,10.0,8,0.4,50,"[5, 19, 0, 3, 17, 9, 3, 19, 0, 4, 11, 19, 0, 16, 3, 1, 15, 8, 7, 18]",0.28030165300151566,2048
28,7.0,16,0.4,50,"[8, 16, 16, 3, 15, 17, 19, 2, 7, 5, 11, 0, 18, 7, 19, 6, 10, 14, 5, 4]",0.5136837740028568,2048
29,4.0,32,0.4,50,"[8, 16, 16, 3, 6, 0, 19, 5, 7, 15, 11, 18, 1, 3, 13, 19, 10, 14, 2, 4]",0.9639823020006588,2048
30,1.0,64,0.4,50,"[8, 16, 12, 3, 6, 0, 9, 5, 17, 15, 11, 18, 1, 9, 13, 19, 10, 14, 2, 4]",1.8464499570000044,2048
31,1.0,128,0.4,50,"[8, 16, 12, 3, 6, 0, 9, 5, 17, 15, 11, 18, 1, 9, 13, 19, 10, 14, 2, 4]",3.5893752129995846,2048
32,1.0,256,0.4,50,"[8, 16, 12, 3, 6, 0, 9, 5, 17, 15, 11, 18, 1, 9, 13, 19, 10, 14, 2, 4]",7.06428369400237,2048
33,0.0,512,0.4,50,"[8, 16, 12, 3, 18, 0, 9, 5, 17, 15, 11, 7, 1, 6, 13, 19, 10, 14, 2, 4]",11.741952557000332,2048
34,0.0,1024,0.4,50,"[8, 16, 12, 3, 18, 0, 9, 5, 17, 15, 11, 7, 1, 6, 13, 19, 10, 14, 2, 4]",11.741952557000332,2048
35,0.0,2048,0.4,50,"[8, 16, 12, 3, 18, 0, 9, 5, 17, 15, 11, 7, 1, 6, 13, 19, 10, 14, 2, 4]",11.741952557000332,2048
36,17.0,0,0.5,50,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",0.026920251999399625,2048
37,13.0,2,0.5,50,"[14, 18, 4, 9, 11, 2, 0, 14, 9, 18, 1, 0, 17, 15, 13, 19, 15, 5, 2, 19]",0.08308399700035807,2048
38,11.0,4,0.5,50,"[14, 16, 4, 3, 11, 2, 4, 18, 0, 3, 18, 2, 17, 6, 13, 19, 15, 4, 12, 18]",0.15730768399953377,2048
39,10.0,8,0.5,50,"[14, 18, 4, 13, 2, 2, 15, 10, 16, 2, 1, 6, 17, 7, 13, 19, 2, 14, 5, 19]",0.286071187001653,2048
40,5.0,16,0.5,50,"[14, 16, 8, 13, 11, 2, 6, 18, 0, 3, 18, 9, 17, 6, 13, 19, 7, 4, 12, 5]",0.5230580269999336,2048
41,3.0,32,0.5,50,"[14, 16, 8, 3, 11, 2, 1, 18, 0, 3, 12, 9, 17, 6, 13, 19, 7, 4, 0, 5]",0.9720047080008953,2048
42,2.0,64,0.5,50,"[14, 16, 8, 15, 11, 2, 1, 18, 0, 10, 18, 9, 17, 3, 13, 19, 7, 4, 12, 5]",1.850998014000652,2048
43,1.0,128,0.5,50,"[14, 16, 8, 15, 11, 2, 6, 18, 0, 10, 18, 9, 17, 3, 13, 19, 7, 4, 12, 5]",3.592073342999356,2048
44,1.0,256,0.5,50,"[14, 16, 8, 15, 11, 2, 6, 18, 0, 10, 18, 9, 17, 3, 13, 19, 7, 4, 12, 5]",7.050549722000142,2048
45,1.0,512,0.5,50,"[14, 16, 8, 15, 11, 2, 6, 18, 0, 10, 18, 9, 17, 3, 13, 19, 7, 4, 12, 5]",13.970015005001187,2048
46,1.0,1024,0.5,50,"[14, 16, 8, 15, 11, 2, 6, 18, 0, 10, 18, 9, 17, 3, 13, 19, 7, 4, 12, 5]",15.496964687998116,2048
47,1.0,2048,0.5,50,"[14, 16, 8, 15, 11, 2, 6, 18, 0, 10, 18, 9, 17, 3, 13, 19, 7, 4, 12, 5]",15.496964687998116,2048
48,17.0,0,0.2,100,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",0.05181564200029243,2048
49,10.0,2,0.2,100,"[14, 18, 4, 0, 17, 0, 10, 12, 9, 7, 1, 11, 8, 0, 16, 19, 13, 10, 7, 7]",0.1615339900017716,2048
50,10.0,4,0.2,100,"[14, 18, 4, 0, 17, 0, 10, 12, 9, 7, 1, 11, 8, 0, 16, 19, 13, 10, 7, 7]",0.2910322130010172,2048
51,10.0,8,0.2,100,"[14, 18, 4, 0, 17, 0, 10, 12, 9, 7, 1, 11, 8, 0, 16, 19, 13, 10, 7, 7]",0.526336351998907,2048
52,8.0,16,0.2,100,"[11, 19, 15, 18, 18, 9, 4, 12, 0, 3, 17, 14, 8, 13, 4, 14, 1, 10, 6, 18]",0.9759116169989284,2048
53,4.0,32,0.2,100,"[7, 17, 15, 9, 18, 0, 4, 12, 0, 3, 11, 14, 8, 13, 16, 19, 1, 10, 6, 18]",1.8497985309986689,2048
54,3.0,64,0.2,100,"[7, 17, 15, 0, 5, 9, 4, 12, 0, 3, 1, 14, 8, 13, 16, 19, 2, 10, 6, 18]",3.5711444949993165,2048
55,2.0,128,0.2,100,"[7, 17, 15, 0, 5, 11, 4, 12, 0, 3, 1, 14, 8, 13, 16, 19, 2, 10, 6, 18]",7.012787046001904,2048
56,2.0,256,0.2,100,"[7, 17, 15, 0, 5, 11, 4, 12, 0, 3, 1, 14, 8, 13, 16, 19, 2, 10, 6, 18]",13.834003587999177,2048
57,2.0,512,0.2,100,"[7, 17, 15, 0, 5, 11, 4, 12, 0, 3, 1, 14, 8, 13, 16, 19, 2, 10, 6, 18]",27.467642120001983,2048
58,2.0,1024,0.2,100,"[7, 17, 15, 0, 5, 11, 4, 12, 0, 3, 1, 14, 8, 13, 16, 19, 2, 10, 6, 18]",30.58602855099889,2048
59,2.0,2048,0.2,100,"[7, 17, 15, 0, 5, 11, 4, 12, 0, 3, 1, 14, 8, 13, 16, 19, 2, 10, 6, 18]",30.58602855099889,2048
60,17.0,0,0.3,100,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",0.05149830899972585,2048
61,11.0,2,0.3,100,"[16, 5, 2, 9, 14, 17, 13, 8, 16, 4, 1, 0, 17, 8, 3, 19, 0, 10, 4, 7]",0.16078947500136564,2048
62,11.0,4,0.3,100,"[16, 5, 2, 9, 14, 17, 13, 8, 16, 4, 1, 0, 17, 8, 3, 19, 0, 10, 4, 7]",0.2952545469997858,2048
63,10.0,8,0.3,100,"[9, 15, 10, 3, 18, 2, 0, 5, 18, 14, 17, 7, 3, 0, 6, 4, 9, 13, 6, 1]",0.5399673510000866,2048
64,8.0,16,0.3,100,"[8, 15, 3, 12, 18, 16, 5, 4, 18, 3, 17, 1, 19, 0, 6, 4, 9, 13, 6, 14]",0.9941983729986532,2048
65,4.0,32,0.3,100,"[8, 16, 3, 7, 1, 11, 0, 2, 18, 14, 17, 10, 3, 5, 15, 4, 9, 13, 6, 1]",1.8756595410013688,2048
66,2.0,64,0.3,100,"[8, 16, 19, 7, 1, 11, 0, 2, 18, 14, 17, 10, 3, 5, 15, 4, 9, 13, 6, 1]",3.636562874999072,2048
67,2.0,128,0.3,100,"[8, 16, 19, 7, 1, 11, 0, 2, 18, 14, 17, 10, 3, 5, 15, 4, 9, 13, 6, 1]",7.073711990000447,2048
68,1.0,256,0.3,100,"[8, 16, 12, 19, 7, 11, 0, 2, 18, 14, 17, 10, 3, 5, 15, 4, 9, 13, 6, 1]",13.909644826999283,2048
69,1.0,512,0.3,100,"[8, 16, 12, 19, 7, 11, 0, 2, 18, 14, 17, 10, 3, 5, 15, 4, 9, 13, 6, 1]",27.625831895002193,2048
70,1.0,1024,0.3,100,"[8, 16, 12, 19, 7, 11, 0, 2, 18, 14, 17, 10, 3, 5, 15, 4, 9, 13, 6, 1]",35.9313754950017,2048
71,1.0,2048,0.3,100,"[8, 16, 12, 19, 7, 11, 0, 2, 18, 14, 17, 10, 3, 5, 15, 4, 9, 13, 6, 1]",35.9313754950017,2048
72,17.0,0,0.4,100,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",0.052690878001158126,2048
73,12.0,2,0.4,100,"[14, 18, 4, 9, 15, 0, 13, 15, 9, 1, 1, 9, 17, 0, 13, 19, 15, 10, 8, 5]",0.16142653200222412,2048
74,11.0,4,0.4,100,"[13, 19, 5, 9, 11, 1, 8, 4, 16, 17, 11, 3, 6, 16, 1, 18, 7, 14, 4, 0]",0.30402928100011195,2048
75,11.0,8,0.4,100,"[13, 19, 5, 9, 11, 1, 8, 4, 16, 17, 11, 3, 6, 16, 1, 18, 7, 14, 4, 0]",0.5539480850020482,2048
76,10.0,16,0.4,100,"[8, 0, 2, 2, 14, 16, 18, 9, 17, 1, 15, 2, 8, 3, 0, 12, 10, 1, 11, 14]",1.0236046930003795,2048
77,6.0,32,0.4,100,"[7, 16, 9, 2, 0, 18, 8, 15, 17, 13, 11, 2, 8, 3, 14, 12, 10, 1, 11, 5]",1.915627073001815,2048
78,1.0,64,0.4,100,"[8, 2, 9, 19, 13, 16, 18, 5, 7, 1, 15, 17, 8, 3, 0, 12, 10, 6, 11, 14]",3.6640743280004244,2048
79,0.0,128,0.4,100,"[4, 2, 9, 19, 13, 16, 18, 5, 7, 1, 15, 17, 8, 3, 0, 12, 10, 6, 11, 14]",4.020580554999469,2048
80,0.0,256,0.4,100,"[4, 2, 9, 19, 13, 16, 18, 5, 7, 1, 15, 17, 8, 3, 0, 12, 10, 6, 11, 14]",4.020580554999469,2048
81,0.0,512,0.4,100,"[4, 2, 9, 19, 13, 16, 18, 5, 7, 1, 15, 17, 8, 3, 0, 12, 10, 6, 11, 14]",4.020580554999469,2048
82,0.0,1024,0.4,100,"[4, 2, 9, 19, 13, 16, 18, 5, 7, 1, 15, 17, 8, 3, 0, 12, 10, 6, 11, 14]",4.020580554999469,2048
83,0.0,2048,0.4,100,"[4, 2, 9, 19, 13, 16, 18, 5, 7, 1, 15, 17, 8, 3, 0, 12, 10, 6, 11, 14]",4.020580554999469,2048
84,17.0,0,0.5,100,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",0.052623796997067984,2048
85,12.0,2,0.5,100,"[4, 16, 13, 5, 2, 0, 0, 19, 14, 3, 17, 8, 14, 9, 6, 0, 7, 10, 17, 1]",0.16347633399709594,2048
86,11.0,4,0.5,100,"[1, 7, 9, 12, 6, 0, 6, 18, 4, 14, 1, 2, 12, 11, 13, 19, 3, 0, 10, 2]",0.3053239879991452,2048
87,9.0,8,0.5,100,"[5, 16, 0, 11, 12, 16, 3, 12, 18, 15, 13, 1, 19, 7, 9, 2, 2, 10, 4, 18]",0.5563720999998623,2048
88,7.0,16,0.5,100,"[3, 17, 13, 3, 12, 18, 8, 4, 15, 19, 15, 1, 18, 0, 3, 16, 13, 10, 14, 2]",1.017878478000057,2048
89,5.0,32,0.5,100,"[9, 16, 2, 15, 6, 0, 10, 8, 12, 19, 1, 1, 17, 0, 13, 18, 14, 2, 14, 7]",1.9134643389988923,2048
90,2.0,64,0.5,100,"[9, 16, 0, 3, 6, 17, 11, 8, 12, 15, 18, 1, 19, 10, 13, 18, 5, 2, 14, 7]",3.670448025997757,2048
91,1.0,128,0.5,100,"[9, 16, 0, 3, 6, 17, 11, 8, 12, 15, 4, 1, 19, 10, 13, 18, 5, 2, 14, 7]",7.125843137997435,2048
92,1.0,256,0.5,100,"[9, 16, 0, 3, 6, 17, 11, 8, 12, 15, 4, 1, 19, 10, 13, 18, 5, 2, 14, 7]",13.986810140999296,2048
93,0.0,512,0.5,100,"[9, 15, 0, 3, 6, 17, 11, 8, 16, 2, 4, 1, 19, 10, 13, 18, 5, 12, 14, 7]",20.25064836999809,2048
94,0.0,1024,0.5,100,"[9, 15, 0, 3, 6, 17, 11, 8, 16, 2, 4, 1, 19, 10, 13, 18, 5, 12, 14, 7]",20.25064836999809,2048
95,0.0,2048,0.5,100,"[9, 15, 0, 3, 6, 17, 11, 8, 16, 2, 4, 1, 19, 10, 13, 18, 5, 12, 14, 7]",20.25064836999809,2048
96,17.0,0,0.2,150,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",0.0797781399996893,2048
97,10.0,2,0.2,150,"[10, 8, 4, 17, 5, 10, 19, 6, 0, 17, 8, 3, 18, 9, 11, 18, 0, 17, 14, 2]",0.24452283199934755,2048
98,10.0,4,0.2,150,"[10, 8, 4, 17, 5, 10, 19, 6, 0, 17, 8, 3, 18, 9, 11, 18, 0, 17, 14, 2]",0.4429080160007288,2048
99,9.0,8,0.2,150,"[11, 16, 10, 9, 9, 2, 4, 14, 18, 0, 12, 5, 14, 16, 13, 19, 3, 1, 2, 15]",0.8050400969987095,2048
100,6.0,16,0.2,150,"[14, 18, 5, 15, 1, 10, 2, 17, 9, 7, 12, 19, 0, 0, 13, 10, 5, 7, 8, 4]",1.491864051000448,2048
101,4.0,32,0.2,150,"[11, 8, 5, 15, 1, 10, 19, 17, 0, 3, 12, 6, 18, 9, 13, 16, 0, 7, 14, 2]",2.8119697280017135,2048
102,2.0,64,0.2,150,"[11, 9, 5, 15, 1, 10, 19, 17, 0, 7, 12, 6, 18, 7, 13, 16, 3, 8, 14, 4]",5.414238913999725,2048
103,2.0,128,0.2,150,"[11, 9, 5, 15, 1, 10, 19, 17, 0, 7, 12, 6, 18, 7, 13, 16, 3, 8, 14, 4]",10.572157214999606,2048
104,1.0,256,0.2,150,"[14, 9, 5, 15, 1, 10, 19, 17, 0, 7, 12, 6, 18, 13, 13, 16, 3, 11, 2, 4]",21.1353603259995,2048
105,1.0,512,0.2,150,"[14, 9, 5, 15, 1, 10, 19, 17, 0, 7, 12, 6, 18, 13, 13, 16, 3, 11, 2, 4]",42.0736712350008,2048
106,1.0,1024,0.2,150,"[14, 9, 5, 15, 1, 10, 19, 17, 0, 7, 12, 6, 18, 13, 13, 16, 3, 11, 2, 4]",53.03930124099861,2048
107,1.0,2048,0.2,150,"[14, 9, 5, 15, 1, 10, 19, 17, 0, 7, 12, 6, 18, 13, 13, 16, 3, 11, 2, 4]",53.03930124099861,2048
108,17.0,0,0.3,150,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",0.07631913500154042,2048
109,10.0,2,0.3,150,"[4, 13, 4, 18, 13, 16, 7, 4, 3, 1, 16, 7, 0, 11, 9, 1, 6, 17, 12, 0]",0.23777565999989747,2048
110,10.0,4,0.3,150,"[4, 13, 4, 18, 13, 16, 7, 4, 3, 1, 16, 7, 0, 11, 9, 1, 6, 17, 12, 0]",0.4396081660015625,2048
111,9.0,8,0.3,150,"[14, 16, 0, 13, 15, 2, 0, 17, 9, 1, 17, 7, 3, 0, 18, 8, 19, 13, 13, 1]",0.8056788840003719,2048
112,8.0,16,0.3,150,"[6, 3, 17, 0, 12, 2, 16, 18, 9, 19, 13, 1, 3, 5, 3, 8, 10, 15, 13, 18]",1.4864651300013065,2048
113,6.0,32,0.3,150,"[4, 6, 3, 8, 19, 7, 16, 19, 15, 1, 18, 9, 2, 0, 2, 12, 17, 13, 11, 0]",2.803335734002758,2048
114,3.0,64,0.3,150,"[4, 6, 13, 8, 19, 7, 15, 19, 14, 4, 18, 9, 2, 5, 17, 12, 1, 16, 11, 0]",5.392866938000225,2048
115,0.0,128,0.3,150,"[4, 1, 13, 8, 19, 7, 15, 3, 14, 0, 18, 9, 2, 5, 17, 12, 10, 16, 11, 6]",9.632851731999835,2048
116,0.0,256,0.3,150,"[4, 1, 13, 8, 19, 7, 15, 3, 14, 0, 18, 9, 2, 5, 17, 12, 10, 16, 11, 6]",9.632851731999835,2048
117,0.0,512,0.3,150,"[4, 1, 13, 8, 19, 7, 15, 3, 14, 0, 18, 9, 2, 5, 17, 12, 10, 16, 11, 6]",9.632851731999835,2048
118,0.0,1024,0.3,150,"[4, 1, 13, 8, 19, 7, 15, 3, 14, 0, 18, 9, 2, 5, 17, 12, 10, 16, 11, 6]",9.632851731999835,2048
119,0.0,2048,0.3,150,"[4, 1, 13, 8, 19, 7, 15, 3, 14, 0, 18, 9, 2, 5, 17, 12, 10, 16, 11, 6]",9.632851731999835,2048
