,Fitness,Iteration,Restarts,State,Time,current_restart,max_iters
0,17.0,0,10,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",0.000574691999645438,0,2048
1,17.0,2,10,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",0.0017955169969354756,0,2048
2,16.0,4,10,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 0, 11, 10]",0.010000983998907031,0,2048
3,16.0,8,10,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 0, 11, 10]",0.022255986998061417,0,2048
4,11.0,16,10,"[5, 11, 12, 4, 9, 11, 18, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 0, 16, 10]",0.03299888499896042,0,2048
5,8.0,32,10,"[4, 11, 13, 4, 9, 11, 18, 15, 1, 16, 1, 12, 7, 13, 6, 18, 5, 0, 16, 10]",0.048493283000425436,0,2048
6,4.0,64,10,"[14, 11, 13, 4, 9, 11, 2, 15, 1, 16, 0, 12, 7, 13, 6, 18, 5, 19, 16, 10]",0.07343624299755902,0,2048
7,3.0,128,10,"[14, 11, 13, 4, 9, 11, 2, 15, 1, 16, 0, 12, 7, 17, 6, 18, 5, 19, 16, 10]",0.114214371998969,0,2048
8,2.0,256,10,"[14, 11, 13, 3, 9, 11, 2, 15, 1, 16, 0, 12, 7, 17, 6, 18, 5, 19, 16, 10]",0.19167646300047636,0,2048
9,2.0,512,10,"[14, 11, 13, 3, 9, 11, 2, 15, 1, 16, 0, 12, 7, 17, 6, 18, 5, 19, 16, 10]",0.3417942329979269,0,2048
10,2.0,1024,10,"[14, 11, 13, 3, 9, 11, 2, 15, 1, 16, 0, 12, 7, 17, 6, 18, 5, 19, 16, 10]",0.4678027469999506,0,2048
11,2.0,2048,10,"[14, 11, 13, 3, 9, 11, 2, 15, 1, 16, 0, 12, 7, 17, 6, 18, 5, 19, 16, 10]",0.4678027469999506,0,2048
12,23.0,0,10,"[2, 17, 2, 19, 3, 19, 2, 10, 8, 11, 17, 4, 14, 3, 8, 11, 3, 8, 17, 19]",0.47822869299852755,1,2048
13,19.0,2,10,"[2, 17, 19, 19, 3, 19, 2, 10, 8, 11, 17, 4, 14, 3, 0, 11, 3, 8, 17, 19]",0.48089722499935306,1,2048
14,19.0,4,10,"[2, 17, 19, 19, 3, 19, 2, 10, 8, 11, 17, 4, 14, 3, 0, 11, 3, 8, 17, 19]",0.492082474000199,1,2048
15,19.0,8,10,"[2, 17, 19, 19, 3, 19, 2, 10, 8, 11, 17, 4, 14, 3, 0, 11, 3, 8, 17, 19]",0.5047910199973558,1,2048
16,16.0,16,10,"[4, 2, 19, 19, 3, 19, 2, 10, 8, 11, 17, 4, 14, 3, 0, 11, 3, 8, 17, 19]",0.5207645999980741,1,2048
17,14.0,32,10,"[4, 2, 19, 19, 3, 19, 2, 10, 16, 11, 17, 4, 14, 3, 0, 11, 3, 8, 17, 19]",0.5415233619969513,1,2048
18,9.0,64,10,"[4, 2, 19, 19, 3, 6, 2, 10, 16, 11, 17, 4, 14, 3, 0, 9, 3, 8, 15, 19]",0.5739812840001832,1,2048
19,5.0,128,10,"[13, 5, 7, 19, 3, 6, 2, 10, 16, 11, 17, 4, 14, 3, 0, 9, 3, 8, 15, 19]",0.6251227389984706,1,2048
20,5.0,256,10,"[13, 5, 7, 19, 3, 6, 2, 10, 16, 11, 17, 4, 14, 3, 0, 9, 3, 8, 15, 19]",0.7136687589991197,1,2048
21,3.0,512,10,"[13, 5, 7, 1, 18, 6, 2, 10, 16, 11, 17, 4, 14, 3, 0, 9, 3, 8, 15, 19]",0.8869885109997995,1,2048
22,3.0,1024,10,"[13, 5, 7, 1, 18, 6, 2, 10, 16, 11, 17, 4, 14, 3, 0, 9, 3, 8, 15, 19]",1.1328569229990535,1,2048
23,3.0,2048,10,"[13, 5, 7, 1, 18, 6, 2, 10, 16, 11, 17, 4, 14, 3, 0, 9, 3, 8, 15, 19]",1.1328569229990535,1,2048
24,20.0,0,10,"[14, 15, 13, 5, 1, 2, 14, 19, 13, 19, 11, 5, 19, 0, 15, 2, 9, 6, 7, 6]",1.1513145539975085,2,2048
25,19.0,2,10,"[10, 15, 13, 5, 1, 2, 14, 19, 13, 19, 11, 5, 19, 0, 15, 2, 9, 6, 7, 6]",1.153496544000518,2,2048
26,18.0,4,10,"[10, 15, 13, 5, 1, 2, 14, 19, 13, 19, 11, 5, 19, 0, 15, 2, 9, 6, 13, 6]",1.1729853489996458,2,2048
27,10.0,8,10,"[10, 15, 7, 5, 1, 3, 14, 19, 4, 19, 11, 5, 19, 0, 15, 2, 9, 6, 13, 18]",1.1957339090004098,2,2048
28,9.0,16,10,"[10, 15, 7, 5, 1, 3, 14, 19, 4, 19, 11, 11, 19, 0, 15, 2, 9, 6, 13, 18]",1.2189854419993935,2,2048
29,8.0,32,10,"[10, 17, 7, 5, 1, 3, 14, 19, 4, 19, 11, 11, 19, 0, 15, 2, 9, 6, 13, 18]",1.247662287998537,2,2048
30,6.0,64,10,"[10, 17, 7, 5, 1, 3, 14, 19, 4, 18, 11, 11, 19, 0, 15, 2, 9, 6, 12, 18]",1.2880361749994336,2,2048
31,5.0,128,10,"[10, 17, 7, 5, 1, 3, 14, 19, 4, 18, 11, 11, 16, 0, 15, 2, 9, 6, 12, 18]",1.347706307999033,2,2048
32,5.0,256,10,"[10, 17, 7, 5, 1, 3, 14, 19, 4, 18, 11, 11, 16, 0, 15, 2, 9, 6, 12, 18]",1.4502248889984912,2,2048
33,4.0,512,10,"[10, 17, 7, 5, 1, 3, 14, 19, 4, 18, 13, 11, 16, 0, 15, 2, 9, 6, 12, 18]",1.6383847469987813,2,2048
34,3.0,1024,10,"[10, 17, 7, 5, 1, 3, 14, 19, 4, 18, 13, 11, 16, 8, 15, 2, 9, 6, 12, 18]",2.00009800800035,2,2048
35,3.0,2048,10,"[10, 17, 7, 5, 1, 3, 14, 19, 4, 18, 13, 11, 16, 8, 15, 2, 9, 6, 12, 18]",2.081964787998004,2,2048
36,15.0,0,10,"[15, 1, 18, 15, 7, 5, 3, 2, 13, 5, 15, 5, 1, 0, 12, 9, 2, 5, 17, 1]",2.1095865089992003,3,2048
37,15.0,2,10,"[15, 1, 18, 15, 7, 5, 3, 2, 13, 5, 15, 5, 1, 0, 12, 9, 2, 5, 17, 1]",2.1112610469972424,3,2048
38,15.0,4,10,"[15, 1, 18, 15, 7, 5, 3, 2, 13, 5, 15, 5, 1, 0, 12, 9, 2, 5, 17, 1]",2.139750851998542,3,2048
39,15.0,8,10,"[15, 1, 18, 15, 7, 5, 3, 2, 13, 5, 15, 5, 1, 0, 12, 9, 2, 5, 17, 1]",2.1697599639992404,3,2048
40,12.0,16,10,"[15, 10, 18, 15, 7, 5, 3, 14, 13, 5, 15, 5, 11, 0, 12, 9, 2, 5, 17, 1]",2.2039926949983055,3,2048
41,12.0,32,10,"[15, 10, 18, 15, 7, 5, 3, 14, 13, 5, 15, 5, 11, 0, 12, 9, 2, 5, 17, 1]",2.24252756399801,3,2048
42,8.0,64,10,"[15, 10, 6, 16, 7, 5, 3, 14, 13, 5, 2, 5, 11, 0, 12, 9, 2, 5, 17, 1]",2.294595062998269,3,2048
43,6.0,128,10,"[15, 10, 6, 16, 7, 5, 3, 14, 19, 5, 2, 5, 11, 0, 12, 9, 18, 5, 17, 1]",2.3685826789987914,3,2048
44,4.0,256,10,"[15, 10, 6, 16, 7, 5, 3, 14, 19, 5, 2, 5, 11, 0, 12, 9, 18, 8, 4, 1]",2.4866180879980675,3,2048
45,1.0,512,10,"[15, 10, 6, 16, 7, 13, 3, 14, 19, 5, 2, 17, 11, 0, 12, 9, 18, 8, 4, 1]",2.704808537997451,3,2048
46,1.0,1024,10,"[15, 10, 6, 16, 7, 13, 3, 14, 19, 5, 2, 17, 11, 0, 12, 9, 18, 8, 4, 1]",2.9935458979998657,3,2048
47,1.0,2048,10,"[15, 10, 6, 16, 7, 13, 3, 14, 19, 5, 2, 17, 11, 0, 12, 9, 18, 8, 4, 1]",2.9935458979998657,3,2048
48,19.0,0,10,"[5, 18, 12, 11, 14, 14, 11, 18, 11, 0, 2, 7, 0, 17, 13, 10, 9, 6, 13, 9]",3.0296880770001735,4,2048
49,19.0,2,10,"[5, 18, 12, 11, 14, 14, 11, 18, 11, 0, 2, 7, 0, 17, 13, 10, 9, 6, 13, 9]",3.0314612740003213,4,2048
50,19.0,4,10,"[5, 18, 12, 11, 14, 14, 11, 18, 11, 0, 2, 7, 0, 17, 13, 10, 9, 6, 13, 9]",3.0677298739974503,4,2048
51,16.0,8,10,"[5, 18, 12, 11, 14, 11, 11, 18, 0, 0, 2, 7, 0, 17, 13, 10, 0, 6, 13, 9]",3.1101188699976774,4,2048
52,15.0,16,10,"[5, 18, 12, 11, 14, 11, 11, 18, 0, 0, 1, 7, 0, 17, 13, 10, 0, 6, 13, 9]",3.1515347929998825,4,2048
53,11.0,32,10,"[5, 18, 11, 11, 14, 11, 11, 18, 0, 0, 1, 7, 0, 17, 13, 10, 17, 6, 4, 9]",3.199922924999555,4,2048
54,10.0,64,10,"[5, 18, 11, 11, 14, 11, 11, 14, 0, 0, 1, 7, 0, 17, 13, 10, 17, 6, 4, 9]",3.2602365109996754,4,2048
55,6.0,128,10,"[3, 18, 11, 11, 14, 5, 11, 14, 0, 15, 1, 7, 0, 17, 13, 10, 17, 6, 4, 9]",3.3438781189979636,4,2048
56,4.0,256,10,"[3, 18, 11, 16, 12, 5, 11, 14, 0, 15, 1, 7, 0, 17, 13, 10, 17, 6, 4, 9]",3.476995753997471,4,2048
57,3.0,512,10,"[3, 18, 11, 16, 12, 5, 8, 14, 0, 15, 1, 7, 0, 17, 13, 10, 17, 6, 4, 9]",3.7131992329996137,4,2048
