,Fitness,Iteration,State,Temperature,Time,max_iters,schedule_current_value,schedule_decay,schedule_init_temp,schedule_min_temp,schedule_type
0,17.0,0,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",2,0.0006492639986390714,2048,1.999986949400092,0.99,2,0.001,geometric
1,18.0,2,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 18, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",2,0.0026036339986603707,2048,1.9999476658924744,0.99,2,0.001,geometric
2,16.0,4,"[14, 11, 12, 8, 9, 11, 5, 15, 0, 18, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",2,0.007607540999742923,2048,1.9998470891615956,0.99,2,0.001,geometric
3,18.0,8,"[14, 0, 12, 6, 9, 11, 5, 15, 14, 18, 9, 12, 7, 13, 6, 18, 5, 18, 11, 10]",2,0.015078552001796197,2048,1.9996969339409738,0.99,2,0.001,geometric
4,14.0,16,"[4, 0, 12, 8, 9, 11, 5, 8, 14, 18, 9, 13, 7, 13, 6, 2, 14, 18, 16, 10]",2,0.026744965001853416,2048,1.9994624804834347,0.99,2,0.001,geometric
5,14.0,32,"[14, 18, 12, 8, 17, 11, 2, 11, 14, 18, 0, 13, 7, 13, 0, 2, 14, 18, 16, 10]",2,0.044788901999709196,2048,1.9990999155835636,0.99,2,0.001,geometric
6,8.0,64,"[9, 18, 13, 8, 17, 9, 2, 0, 15, 19, 13, 3, 1, 19, 11, 10, 14, 18, 6, 18]",2,0.07707831700099632,2048,1.998451274002027,0.99,2,0.001,geometric
7,12.0,128,"[15, 18, 0, 8, 14, 11, 0, 17, 15, 12, 10, 1, 10, 13, 18, 10, 5, 2, 11, 15]",2,0.13157142199997907,2048,1.9973570738449626,0.99,2,0.001,geometric
8,6.0,256,"[13, 6, 3, 8, 14, 17, 2, 4, 7, 12, 2, 19, 5, 11, 18, 1, 4, 8, 1, 9]",2,0.22451453499888885,2048,1.9954921947618127,0.99,2,0.001,geometric
9,2.0,512,"[13, 10, 18, 0, 14, 4, 17, 8, 2, 12, 2, 16, 5, 1, 10, 15, 3, 19, 7, 9]",2,0.3872876460009138,2048,1.9922303890848165,0.99,2,0.001,geometric
10,1.0,1024,"[7, 10, 18, 0, 14, 4, 17, 8, 2, 13, 6, 16, 5, 1, 12, 15, 11, 19, 3, 9]",2,0.6937992950006446,2048,1.9861026768825925,0.99,2,0.001,geometric
11,1.0,2048,"[7, 10, 18, 0, 2, 4, 17, 8, 16, 13, 6, 14, 5, 1, 12, 15, 11, 19, 3, 9]",2,1.340809666999121,2048,1.9732296035764167,0.99,2,0.001,geometric
12,17.0,0,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",4,0.0006045030022505671,2048,3.999975698241034,0.99,4,0.001,geometric
13,18.0,2,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 18, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",4,0.0025539940033922903,2048,3.9998973273277247,0.99,4,0.001,geometric
14,16.0,4,"[14, 11, 12, 8, 9, 11, 5, 15, 0, 18, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",4,0.022199100003490457,2048,3.9991076659046003,0.99,4,0.001,geometric
15,18.0,8,"[14, 0, 12, 6, 9, 11, 5, 15, 14, 18, 9, 12, 7, 13, 6, 18, 5, 18, 11, 10]",4,0.045106164001481375,2048,3.998187082568766,0.99,4,0.001,geometric
16,14.0,16,"[4, 0, 12, 8, 9, 11, 5, 8, 14, 18, 9, 13, 7, 13, 6, 2, 14, 18, 16, 10]",4,0.0728559840026719,2048,3.9970721636187414,0.99,4,0.001,geometric
17,14.0,32,"[14, 18, 12, 8, 17, 11, 2, 11, 14, 18, 0, 13, 7, 13, 0, 2, 14, 18, 16, 10]",4,0.10658107700146502,2048,3.9957175915372742,0.99,4,0.001,geometric
18,18.0,64,"[13, 2, 15, 0, 5, 18, 2, 0, 13, 19, 1, 3, 1, 19, 1, 15, 0, 10, 11, 18]",4,0.15872390900040045,2048,3.9936241724295614,0.99,4,0.001,geometric
19,12.0,128,"[14, 7, 0, 7, 11, 6, 13, 17, 17, 14, 8, 1, 7, 19, 8, 18, 5, 1, 11, 15]",4,0.23614173800160643,2048,3.9905180411312604,0.99,4,0.001,geometric
20,8.0,256,"[18, 7, 5, 17, 2, 6, 10, 18, 4, 14, 0, 19, 7, 0, 3, 9, 19, 11, 1, 8]",4,0.3572854140002164,2048,3.9856624037764363,0.99,4,0.001,geometric
21,4.0,512,"[8, 16, 4, 16, 14, 6, 10, 18, 1, 15, 0, 3, 0, 2, 12, 14, 19, 11, 13, 2]",4,0.5380736220031395,2048,3.97842710129707,0.99,4,0.001,geometric
22,3.0,1024,"[8, 16, 4, 16, 14, 0, 10, 18, 1, 15, 13, 3, 17, 9, 12, 6, 2, 11, 19, 1]",4,0.8742992620027508,2048,3.9650059665899504,0.99,4,0.001,geometric
23,2.0,2048,"[7, 16, 4, 19, 1, 14, 5, 18, 8, 15, 13, 3, 0, 0, 12, 0, 17, 11, 9, 2]",4,1.5456690650025848,2048,3.938342178554347,0.99,4,0.001,geometric
24,17.0,0,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",8,0.0006211440013430547,2048,7.99995005850927,0.99,8,0.001,geometric
25,18.0,2,"[5, 11, 12, 8, 9, 11, 5, 15, 0, 18, 1, 12, 7, 13, 6, 18, 5, 18, 11, 10]",8,0.002535973999329144,2048,7.999796103475134,0.99,8,0.001,geometric
