,Fitness,Iteration,State,Temperature,Time,max_iters,schedule_current_value,schedule_decay,schedule_init_temp,schedule_min_temp,schedule_type
0,3122.834047054343,0,"[19, 16, 3, 13, 18, 15, 10, 4, 2, 17, 6, 7, 1, 14, 0, 21, 20, 9, 8, 12, 11, 5]",2,0.00014327600001706742,2048,1.9999971200582336,0.99,2,0.001,geometric
1,2839.834026359978,2,"[19, 16, 13, 3, 18, 15, 10, 4, 2, 17, 6, 7, 1, 14, 0, 21, 11, 9, 8, 12, 20, 5]",2,0.0007168619995354675,2048,1.9999855906441957,0.99,2,0.001,geometric
2,2839.834026359978,4,"[19, 16, 13, 3, 18, 15, 10, 4, 2, 17, 6, 7, 1, 14, 0, 21, 11, 9, 8, 12, 20, 5]",2,0.004143975002079969,2048,1.9999167050534814,0.99,2,0.001,geometric
3,2424.9443765124784,8,"[19, 16, 13, 18, 3, 15, 21, 4, 2, 17, 6, 7, 1, 14, 0, 10, 11, 9, 8, 12, 20, 5]",2,0.007632715001818724,2048,1.999846583185996,0.99,2,0.001,geometric
4,2259.4860822912883,16,"[19, 16, 13, 18, 3, 15, 2, 4, 12, 17, 6, 7, 1, 14, 0, 10, 11, 9, 8, 21, 20, 5]",2,0.011719694000930758,2048,1.9997644401515806,0.99,2,0.001,geometric
5,2145.291266925598,32,"[19, 16, 13, 18, 3, 6, 21, 4, 12, 17, 15, 7, 1, 14, 0, 10, 11, 9, 8, 2, 20, 5]",2,0.016850752999744145,2048,1.9996613172256796,0.99,2,0.001,geometric
6,1955.1576506205924,64,"[19, 16, 14, 2, 3, 6, 21, 4, 12, 0, 15, 7, 1, 18, 17, 10, 11, 8, 9, 13, 20, 5]",2,0.024159442000382114,2048,1.9995144379398964,0.99,2,0.001,geometric
7,1661.4093535406032,128,"[18, 16, 14, 17, 4, 19, 21, 1, 12, 15, 0, 7, 3, 2, 6, 10, 9, 8, 11, 13, 20, 5]",2,0.03585924399885698,2048,1.9992793349794342,0.99,2,0.001,geometric
8,1466.9681639926919,256,"[19, 16, 1, 21, 4, 17, 18, 14, 7, 15, 0, 3, 12, 2, 6, 10, 9, 8, 11, 13, 5, 20]",2,0.05608097500225995,2048,1.99887305235454,0.99,2,0.001,geometric
9,1243.3390422217271,512,"[19, 16, 5, 21, 4, 18, 17, 12, 3, 15, 0, 7, 14, 2, 6, 10, 9, 8, 11, 1, 13, 20]",2,0.09524945900193416,2048,1.9980863380043126,0.99,2,0.001,geometric
10,1126.292059533747,1024,"[20, 5, 19, 21, 4, 18, 17, 12, 3, 15, 0, 7, 14, 2, 6, 10, 9, 8, 11, 1, 16, 13]",2,0.17942853800195735,2048,1.996396615861319,0.99,2,0.001,geometric
11,1126.292059533747,2048,"[20, 5, 19, 21, 4, 18, 17, 12, 3, 15, 0, 7, 14, 2, 6, 10, 9, 8, 11, 1, 16, 13]",2,0.20430030200077454,2048,1.9958976398018462,0.99,2,0.001,geometric
12,3122.834047054343,0,"[19, 16, 3, 13, 18, 15, 10, 4, 2, 17, 6, 7, 1, 14, 0, 21, 20, 9, 8, 12, 11, 5]",4,0.00011233300028834492,2048,3.999995484065028,0.99,4,0.001,geometric
13,2839.834026359978,2,"[19, 16, 13, 3, 18, 15, 10, 4, 2, 17, 6, 7, 1, 14, 0, 21, 11, 9, 8, 12, 20, 5]",4,0.0006644759996561334,2048,3.9999732872613443,0.99,4,0.001,geometric
14,2839.834026359978,4,"[19, 16, 13, 3, 18, 15, 10, 4, 2, 17, 6, 7, 1, 14, 0, 21, 11, 9, 8, 12, 20, 5]",4,0.013385804002609802,2048,3.9994619088924197,0.99,4,0.001,geometric
15,2424.9443765124784,8,"[19, 16, 13, 18, 3, 15, 21, 4, 2, 17, 6, 7, 1, 14, 0, 10, 11, 9, 8, 12, 20, 5]",4,0.026225576002616435,2048,3.998945835545136,0.99,4,0.001,geometric
16,2259.4860822912883,16,"[19, 16, 13, 18, 3, 15, 2, 4, 12, 17, 6, 7, 1, 14, 0, 10, 11, 9, 8, 21, 20, 5]",4,0.039823104001698084,2048,3.998399378054501,0.99,4,0.001,geometric
17,2145.291266925598,32,"[19, 16, 13, 18, 3, 6, 21, 4, 12, 17, 15, 7, 1, 14, 0, 10, 11, 9, 8, 2, 20, 5]",4,0.05436550100057502,2048,3.997815030803107,0.99,4,0.001,geometric
18,1955.1576506205924,64,"[19, 16, 14, 2, 3, 6, 21, 4, 12, 0, 15, 7, 1, 18, 17, 10, 11, 8, 9, 13, 20, 5]",4,0.07117355700029293,2048,3.9971397505091857,0.99,4,0.001,geometric
19,1661.4093535406032,128,"[18, 16, 14, 17, 4, 19, 21, 1, 12, 15, 0, 7, 3, 2, 6, 10, 9, 8, 11, 13, 20, 5]",4,0.09208661400043638,2048,3.9962997069840402,0.99,4,0.001,geometric
20,1466.9681639926919,256,"[19, 16, 1, 21, 4, 17, 18, 14, 7, 15, 0, 3, 12, 2, 6, 10, 9, 8, 11, 13, 5, 20]",4,0.12177276600050391,2048,3.995107565646703,0.99,4,0.001,geometric
21,1243.3390422217271,512,"[19, 16, 5, 21, 4, 18, 17, 12, 3, 15, 0, 7, 14, 2, 6, 10, 9, 8, 11, 1, 13, 20]",4,0.16984506600056193,2048,3.993177824557694,0.99,4,0.001,geometric
22,1126.292059533747,1024,"[20, 5, 19, 21, 4, 18, 17, 12, 3, 15, 0, 7, 14, 2, 6, 10, 9, 8, 11, 1, 16, 13]",4,0.2624423180022859,2048,3.989463368242455,0.99,4,0.001,geometric
23,1126.292059533747,2048,"[20, 5, 19, 21, 4, 18, 17, 12, 3, 15, 0, 7, 14, 2, 6, 10, 9, 8, 11, 1, 16, 13]",4,0.2967861739998625,2048,3.988086573619838,0.99,4,0.001,geometric
